[383467] ['-3i', '(3+i)', '(7-3i)', '(9-9i)'] -> (((7-3i) - (3+i)) / (-3i / (9-9i)))
[404988] ['-3i', '(4+4i)', '(5+5i)', '(6+6i)'] -> ((-3i * (4+4i)) * ((6+6i) - (5+5i)))
[404991] ['-3i', '(4+4i)', '(5+5i)', '(7+7i)'] -> ((-3i * (4+4i)) + ((5+5i) + (7+7i)))
[404993] ['-3i', '(4+4i)', '(5+5i)', '(8-8i)'] -> ((-3i * (8-8i)) / ((4+4i) - (5+5i)))
[404994] ['-3i', '(4+4i)', '(5+5i)', '(8-i)'] -> ((4+4i) * ((8-i) - (-3i + (5+5i))))
[404996] ['-3i', '(4+4i)', '(5+5i)', '(8+5i)'] -> ((4+4i) * ((8+5i) + (-3i - (5+5i))))
[405001] ['-3i', '(4+4i)', '(5+5i)', '(9+i)'] -> (-3i * (((4+4i) + (5+5i)) - (9+i)))
[405005] ['-3i', '(4+4i)', '(5+6i)', '(6+7i)'] -> ((-3i * (4+4i)) * ((6+7i) - (5+6i)))
[405010] ['-3i', '(4+4i)', '(5+6i)', '(7+6i)'] -> ((-3i * (4+4i)) + ((5+6i) + (7+6i)))
[405013] ['-3i', '(4+4i)', '(5+6i)', '8'] -> ((4+4i) * (8 - (-3i + (5+6i))))
[405014] ['-3i', '(4+4i)', '(5+6i)', '(8+6i)'] -> ((4+4i) * ((8+6i) + (-3i - (5+6i))))
[405016] ['-3i', '(4+4i)', '(5+6i)', '(9+2i)'] -> (-3i * (((4+4i) + (5+6i)) - (9+2i)))
[405023] ['-3i', '(4+4i)', '(5+7i)', '(6+i)'] -> ((-3i * (4+4i)) * ((5+7i) / (6+i)))
[405025] ['-3i', '(4+4i)', '(5+7i)', '(6+8i)'] -> ((-3i * (4+4i)) * ((6+8i) - (5+7i)))
[405029] ['-3i', '(4+4i)', '(5+7i)', '(7+5i)'] -> ((-3i * (4+4i)) + ((5+7i) + (7+5i)))
[405034] ['-3i', '(4+4i)', '(5+7i)', '(8+i)'] -> ((4+4i) * ((8+i) - (-3i + (5+7i))))
[405036] ['-3i', '(4+4i)', '(5+7i)', '(8+7i)'] -> ((4+4i) * ((8+7i) + (-3i - (5+7i))))
[405039] ['-3i', '(4+4i)', '(5+7i)', '(9+3i)'] -> ((9+5i) + ((3-i) * ((1-2i) + (4+2i))))
[405046] ['-3i', '(4+4i)', '(5+8i)', '(6+9i)'] -> ((-3i * (4+4i)) * ((6+9i) - (5+8i)))
[405051] ['-3i', '(4+4i)', '(5+8i)', '(7+4i)'] -> ((-3i * (4+4i)) + ((5+8i) + (7+4i)))
[405055] ['-3i', '(4+4i)', '(5+8i)', '(8+2i)'] -> ((4+4i) * ((8+2i) - (-3i + (5+8i))))
[405058] ['-3i', '(4+4i)', '(5+8i)', '(8+8i)'] -> ((4+4i) * ((8+8i) + (-3i - (5+8i))))
[405063] ['-3i', '(4+4i)', '(5+8i)', '(9+4i)'] -> (-3i * (((4+4i) + (5+8i)) - (9+4i)))
[405075] ['-3i', '(4+4i)', '(5+9i)', '(7+2i)'] -> ((-3i * (4+4i)) * ((5+9i) / (7+2i)))
[405076] ['-3i', '(4+4i)', '(5+9i)', '(7+3i)'] -> ((-3i * (4+4i)) + ((5+9i) + (7+3i)))
[405083] ['-3i', '(4+4i)', '(5+9i)', '(8+3i)'] -> ((3-i) * (8 + ((4+4i) / (1-2i))))
[405084] ['-3i', '(4+4i)', '(5+9i)', '(8+9i)'] -> ((4+4i) * ((8+9i) + (-3i - (5+9i))))
[405093] ['-3i', '(4+4i)', '(5+9i)', '(9+5i)'] -> (((1-4i) * (8-8i)) - (-8i * (5-6i)))
[405098] ['-3i', '(4+4i)', '(6-9i)', '(6-i)'] -> ((4+4i) * ((6-i) - ((6-9i) / -3i)))
[405102] ['-3i', '(4+4i)', '(6-9i)', '(7-8i)'] -> ((-3i * (4+4i)) * ((7-8i) - (6-9i)))
[405109] ['-3i', '(4+4i)', '(6-9i)', '(9-9i)'] -> ((4+4i) * ((9-9i) + (-3i - (6-9i))))
[405118] ['-3i', '(4+4i)', '(6-8i)', '(7-7i)'] -> (((1-5i) - (5+3i)) + ((2+2i) * (9-5i)))
[405129] ['-3i', '(4+4i)', '(6-8i)', '(9-8i)'] -> ((7+6i) + ((9+8i) * ((1-8i) / (5-2i))))
[405141] ['-3i', '(4+4i)', '(6-7i)', '(7-6i)'] -> ((-3i * (4+4i)) * ((7-6i) - (6-7i)))
[405149] ['-3i', '(4+4i)', '(6-7i)', '(9-7i)'] -> ((4+4i) * ((9-7i) + (-3i - (6-7i))))
[405150] ['-3i', '(4+4i)', '(6-7i)', '(9+6i)'] -> ((-3i * ((4+4i) - (6-7i))) - (9+6i))
[405152] ['-3i', '(4+4i)', '(6-6i)', '(6-6i)'] -> ((6-6i) * ((4+4i) - ((6-6i) / -3i)))
[405154] ['-3i', '(4+4i)', '(6-6i)', '(6+3i)'] -> ((6-6i) * ((6+3i) - (-3i + (4+4i))))
[405155] ['-3i', '(4+4i)', '(6-6i)', '(6+6i)'] -> ((-3i * ((4+4i) - (6-6i))) - (6+6i))
[405156] ['-3i', '(4+4i)', '(6-6i)', '(6+9i)'] -> ((6-6i) * ((6+9i) + (-3i - (4+4i))))
[405157] ['-3i', '(4+4i)', '(6-6i)', '(7-5i)'] -> ((-3i * (4+4i)) * ((7-5i) - (6-6i)))
[405163] ['-3i', '(4+4i)', '(6-6i)', '(8-6i)'] -> (((8-6i) / (-3i / (6-6i))) - (4+4i))
[405164] ['-3i', '(4+4i)', '(6-6i)', '(9-6i)'] -> ((4+4i) * ((9-6i) + (-3i - (6-6i))))
[405168] ['-3i', '(4+4i)', '(6-6i)', '(9+9i)'] -> ((4+4i) * ((6-6i) + ((9+9i) / -3i)))
[405170] ['-3i', '(4+4i)', '(6-5i)', '(6+9i)'] -> ((4+4i) * ((6-5i) + ((6+9i) / -3i)))
[405171] ['-3i', '(4+4i)', '(6-5i)', '(7-4i)'] -> ((-3i * (4+4i)) * ((7-4i) - (6-5i)))
[405178] ['-3i', '(4+4i)', '(6-5i)', '(9-5i)'] -> (-8i * ((6-2i) - ((1-4i) + (5-i))))
[405182] ['-3i', '(4+4i)', '(6-4i)', '(7-3i)'] -> ((-3i * (4+4i)) * ((7-3i) - (6-4i)))
[405189] ['-3i', '(4+4i)', '(6-4i)', '(9-4i)'] -> ((4+4i) * ((9-4i) + (-3i - (6-4i))))
[405193] ['-3i', '(4+4i)', '(6-3i)', '(6+6i)'] -> ((-3i + (6-3i)) * ((6+6i) - (4+4i)))
[405196] ['-3i', '(4+4i)', '(6-3i)', '(7-2i)'] -> ((-3i * (4+4i)) * ((7-2i) - (6-3i)))
[405200] ['-3i', '(4+4i)', '(6-3i)', '(9-9i)'] -> ((4+4i) * ((9-9i) - (-3i + (6-3i))))
[405203] ['-3i', '(4+4i)', '(6-3i)', '(9-3i)'] -> (-8i * (((6-4i) / (5+i)) - (1-4i)))
[405205] ['-3i', '(4+4i)', '(6-3i)', '(9+3i)'] -> ((-3i * (4+4i)) / ((6-3i) / (9+3i)))
[405207] ['-3i', '(4+4i)', '(6-2i)', '6'] -> (((6-2i) * 6) - (-3i * (4+4i)))
[405209] ['-3i', '(4+4i)', '(6-2i)', '(7-i)'] -> ((-3i * (4+4i)) * ((7-i) - (6-2i)))
[405215] ['-3i', '(4+4i)', '(6-2i)', '(8+4i)'] -> ((-3i * (4+4i)) / ((6-2i) / (8+4i)))
[405216] ['-3i', '(4+4i)', '(6-2i)', '(9-8i)'] -> ((4+4i) * ((9-8i) - (-3i + (6-2i))))
[405217] ['-3i', '(4+4i)', '(6-2i)', '(9-2i)'] -> ((4+4i) * ((9-2i) + (-3i - (6-2i))))
[405220] ['-3i', '(4+4i)', '(6-i)', '(6+6i)'] -> ((6+6i) * ((6-i) - (-3i + (4+4i))))
[405223] ['-3i', '(4+4i)', '(6-i)', '(7-2i)'] -> ((-8i / (1-4i)) * ((5+2i) + (7+i)))
[405225] ['-3i', '(4+4i)', '(6-i)', '7'] -> ((-3i * (4+4i)) * (7 - (6-i)))
[405228] ['-3i', '(4+4i)', '(6-i)', '(7+5i)'] -> (-6i * ((3-5i) - ((2-i) * (3-3i))))
[405229] ['-3i', '(4+4i)', '(6-i)', '(9-7i)'] -> ((4+4i) * ((9-7i) - (-3i + (6-i))))
[405230] ['-3i', '(4+4i)', '(6-i)', '(9-i)'] -> ((4+4i) * ((9-i) + (-3i - (6-i))))
[405236] ['-3i', '(4+4i)', '6', '(6+6i)'] -> ((-3i * (4+4i)) / (6 / (6+6i)))
[405238] ['-3i', '(4+4i)', '6', '(7+i)'] -> (-8i * ((6+2i) - ((1-4i) + (5+3i))))
[405243] ['-3i', '(4+4i)', '6', '8'] -> ((-6i / (2-i)) * ((7+3i) - (3-5i)))
[405245] ['-3i', '(4+4i)', '6', '(8+i)'] -> (6 * ((8+i) - (-3i + (4+4i))))
[405247] ['-3i', '(4+4i)', '6', '(8+7i)'] -> (((1-4i) * (5+3i)) - (-8i - (7+9i)))
[405249] ['-3i', '(4+4i)', '6', '(9-9i)'] -> ((4+4i) * (6 - ((9-9i) / -3i)))
[405250] ['-3i', '(4+4i)', '6', '(9-6i)'] -> ((4+4i) * ((9-6i) - (-3i + 6)))
[405252] ['-3i', '(4+4i)', '6', '9'] -> ((4+4i) * (9 + (-3i - 6)))
[405257] ['-3i', '(4+4i)', '(6+i)', '(7+2i)'] -> ((-3i * (4+4i)) * ((7+2i) - (6+i)))
[405262] ['-3i', '(4+4i)', '(6+i)', '(9-5i)'] -> ((4+4i) * ((9-5i) - (-3i + (6+i))))
[405266] ['-3i', '(4+4i)', '(6+i)', '(9+i)'] -> ((4+4i) * ((9+i) + (-3i - (6+i))))
[405270] ['-3i', '(4+4i)', '(6+2i)', '(6+9i)'] -> ((-3i + (6+9i)) * ((6+2i) - (4+4i)))
[405273] ['-3i', '(4+4i)', '(6+2i)', '(7+3i)'] -> ((-3i * (4+4i)) * ((7+3i) - (6+2i)))
[405280] ['-3i', '(4+4i)', '(6+2i)', '(9-4i)'] -> ((-8i / (1-4i)) * ((5+5i) + (7-2i)))
[405282] ['-3i', '(4+4i)', '(6+2i)', '(9+2i)'] -> ((4+4i) * ((9+2i) + (-3i - (6+2i))))
[405284] ['-3i', '(4+4i)', '(6+3i)', '(6+9i)'] -> ((-3i * (4+4i)) + ((6+3i) + (6+9i)))
[405287] ['-3i', '(4+4i)', '(6+3i)', '(7+2i)'] -> (((6+3i) * ((7+2i) - (4+4i))) - -3i)
[405289] ['-3i', '(4+4i)', '(6+3i)', '(7+4i)'] -> (((2-i) * (6-6i)) - (-6i * (3-3i)))
[405294] ['-3i', '(4+4i)', '(6+3i)', '(8+4i)'] -> ((-3i + (6+3i)) * ((8+4i) - (4+4i)))
[405300] ['-3i', '(4+4i)', '(6+3i)', '(9-3i)'] -> ((4+4i) * ((9-3i) - (-3i + (6+3i))))
[405303] ['-3i', '(4+4i)', '(6+3i)', '(9+3i)'] -> ((4+4i) * ((9+3i) + (-3i - (6+3i))))
[405308] ['-3i', '(4+4i)', '(6+4i)', '(6+6i)'] -> ((4+4i) - ((6+6i) / (-3i / (6+4i))))
[405310] ['-3i', '(4+4i)', '(6+4i)', '(6+8i)'] -> ((-3i * (4+4i)) + ((6+4i) + (6+8i)))
[405315] ['-3i', '(4+4i)', '(6+4i)', '(7+5i)'] -> ((-3i * (4+4i)) * ((7+5i) - (6+4i)))
[405321] ['-3i', '(4+4i)', '(6+4i)', '(9-2i)'] -> ((4+4i) * ((9-2i) - (-3i + (6+4i))))
[405322] ['-3i', '(4+4i)', '(6+4i)', '(9+4i)'] -> ((4+4i) * ((9+4i) + (-3i - (6+4i))))
[405324] ['-3i', '(4+4i)', '(6+5i)', '(6+6i)'] -> (((2+2i) * ((1-5i) + (6-3i))) - (6-2i))
[405325] ['-3i', '(4+4i)', '(6+5i)', '(6+7i)'] -> ((-3i * (4+4i)) + ((6+5i) + (6+7i)))
[405331] ['-3i', '(4+4i)', '(6+5i)', '(7+6i)'] -> ((-3i * (4+4i)) * ((7+6i) - (6+5i)))
[405336] ['-3i', '(4+4i)', '(6+5i)', '(9-6i)'] -> (((9-6i) * ((6+5i) - (4+4i))) - -3i)
[405338] ['-3i', '(4+4i)', '(6+5i)', '(9-i)'] -> (((1-8i) + (5-i)) / ((5-i) / (8+8i)))
[405340] ['-3i', '(4+4i)', '(6+5i)', '(9+5i)'] -> ((4+4i) * ((9+5i) + (-3i - (6+5i))))
[405341] ['-3i', '(4+4i)', '(6+6i)', '(6+6i)'] -> ((-3i * (4+4i)) + ((6+6i) + (6+6i)))
[405346] ['-3i', '(4+4i)', '(6+6i)', '(7+7i)'] -> ((-3i * (4+4i)) * ((7+7i) - (6+6i)))
[405348] ['-3i', '(4+4i)', '(6+6i)', '8'] -> (8 - ((6+6i) / (-3i / (4+4i))))
[405354] ['-3i', '(4+4i)', '(6+6i)', '9'] -> ((4+4i) * (9 - (-3i + (6+6i))))
[405355] ['-3i', '(4+4i)', '(6+6i)', '(9+6i)'] -> ((4+4i) * ((9+6i) + (-3i - (6+6i))))
[405358] ['-3i', '(4+4i)', '(6+7i)', '(7+8i)'] -> ((-3i * (4+4i)) * ((7+8i) - (6+7i)))
[405367] ['-3i', '(4+4i)', '(6+7i)', '(9+i)'] -> ((4+4i) * ((9+i) - (-3i + (6+7i))))
[405369] ['-3i', '(4+4i)', '(6+7i)', '(9+7i)'] -> ((4+4i) * ((9+7i) + (-3i - (6+7i))))
[405370] ['-3i', '(4+4i)', '(6+8i)', '(7+i)'] -> ((-3i * (4+4i)) * ((6+8i) / (7+i)))
[405371] ['-3i', '(4+4i)', '(6+8i)', '(7+9i)'] -> ((-3i * (4+4i)) * ((7+9i) - (6+8i)))
[405379] ['-3i', '(4+4i)', '(6+8i)', '(9+2i)'] -> ((4+4i) * ((9+2i) - (-3i + (6+8i))))
[405380] ['-3i', '(4+4i)', '(6+8i)', '(9+8i)'] -> ((4+4i) * ((9+8i) + (-3i - (6+8i))))
[405382] ['-3i', '(4+4i)', '(6+9i)', '(7-6i)'] -> ((-3i * ((4+4i) - (7-6i))) - (6+9i))
[405388] ['-3i', '(4+4i)', '(6+9i)', '(9+3i)'] -> ((4+4i) * ((9+3i) - (-3i + (6+9i))))
[405390] ['-3i', '(4+4i)', '(6+9i)', '(9+9i)'] -> ((4+4i) * ((9+9i) + (-3i - (6+9i))))
[405396] ['-3i', '(4+4i)', '(7-9i)', '(8-8i)'] -> ((-3i * (4+4i)) * ((8-8i) - (7-9i)))
[405406] ['-3i', '(4+4i)', '(7-8i)', '(8-7i)'] -> (-6i * (((2-i) * 3) - (6-7i)))
[405425] ['-3i', '(4+4i)', '(7-7i)', '(8-6i)'] -> ((-3i * (4+4i)) * ((8-6i) - (7-7i)))
[405430] ['-3i', '(4+4i)', '(7-7i)', '(9+9i)'] -> ((-3i * ((4+4i) - (7-7i))) - (9+9i))
[405435] ['-3i', '(4+4i)', '(7-6i)', '(8-5i)'] -> ((-3i * (4+4i)) * ((8-5i) - (7-6i)))
[405443] ['-3i', '(4+4i)', '(7-5i)', '(7-3i)'] -> (((7-3i) * (-3i + (4+4i))) - (7-5i))
[405449] ['-3i', '(4+4i)', '(7-5i)', '(8-4i)'] -> (((1-5i) * (6+4i)) + ((2+2i) * (6+7i)))
[405462] ['-3i', '(4+4i)', '(7-4i)', '(8-9i)'] -> (((7-4i) * (-3i + (4+4i))) - (8-9i))
[405464] ['-3i', '(4+4i)', '(7-4i)', '(8-3i)'] -> ((-8i / (1-4i)) * ((6-6i) + (6+9i)))
[405473] ['-3i', '(4+4i)', '(7-3i)', '(8-2i)'] -> ((-3i * (4+4i)) * ((8-2i) - (7-3i)))
[405484] ['-3i', '(4+4i)', '(7-2i)', '(8-i)'] -> ((-3i * (4+4i)) * ((8-i) - (7-2i)))
[405492] ['-3i', '(4+4i)', '(7-2i)', '(9+5i)'] -> ((-3i * (4+4i)) / ((7-2i) / (9+5i)))
[405497] ['-3i', '(4+4i)', '(7-i)', '8'] -> ((-3i * (4+4i)) * (8 - (7-i)))
[405498] ['-3i', '(4+4i)', '(7-i)', '(8+6i)'] -> ((-3i * (4+4i)) / ((7-i) / (8+6i)))
[405506] ['-3i', '(4+4i)', '7', '(7+7i)'] -> ((-3i * (4+4i)) / (7 / (7+7i)))
[405509] ['-3i', '(4+4i)', '7', '(8+i)'] -> ((2-6i) - ((6+4i) * (5 - (8-i))))
[405518] ['-3i', '(4+4i)', '(7+i)', '8'] -> ((-6i + (3+4i)) + ((2-i) * (8+5i)))
[405520] ['-3i', '(4+4i)', '(7+i)', '(8+2i)'] -> ((-3i * (4+4i)) * ((8+2i) - (7+i)))
[405532] ['-3i', '(4+4i)', '(7+2i)', '(8+3i)'] -> ((-3i * (4+4i)) * ((8+3i) - (7+2i)))
[405549] ['-3i', '(4+4i)', '(7+3i)', '(8+4i)'] -> (((3-i) * (7-i)) - ((1-2i) - (5+8i)))
[405554] ['-3i', '(4+4i)', '(7+4i)', '(8-i)'] -> (((8-i) * ((7+4i) - (4+4i))) - -3i)
[405556] ['-3i', '(4+4i)', '(7+4i)', '(8+3i)'] -> ((-3i + (8+3i)) * ((7+4i) - (4+4i)))
[405557] ['-3i', '(4+4i)', '(7+4i)', '(8+5i)'] -> ((-3i * (4+4i)) * ((8+5i) - (7+4i)))
[405566] ['-3i', '(4+4i)', '(7+5i)', '(8+6i)'] -> ((-3i * (4+4i)) * ((8+6i) - (7+5i)))
[405574] ['-3i', '(4+4i)', '(7+6i)', '(8+7i)'] -> ((-3i * (4+4i)) * ((8+7i) - (7+6i)))
[405580] ['-3i', '(4+4i)', '(7+7i)', '8'] -> (8 * ((7+7i) + (-3i - (4+4i))))
[405582] ['-3i', '(4+4i)', '(7+7i)', '(8+8i)'] -> ((-3i * (4+4i)) * ((8+8i) - (7+7i)))
[405589] ['-3i', '(4+4i)', '(7+8i)', '(8+9i)'] -> ((-3i * (4+4i)) * ((8+9i) - (7+8i)))
[405593] ['-3i', '(4+4i)', '(7+9i)', '(8+i)'] -> ((-3i * (4+4i)) * ((7+9i) / (8+i)))
[405599] ['-3i', '(4+4i)', '(8-9i)', '(9-8i)'] -> ((-3i * (4+4i)) * ((9-8i) - (8-9i)))
[405604] ['-3i', '(4+4i)', '(8-8i)', '(9-9i)'] -> ((9-9i) * ((4+4i) - ((8-8i) / -3i)))
[405605] ['-3i', '(4+4i)', '(8-8i)', '(9-7i)'] -> ((-3i * (4+4i)) * ((9-7i) - (8-8i)))
[405607] ['-3i', '(4+4i)', '(8-8i)', '(9-3i)'] -> ((-3i * (8-8i)) + ((4+4i) * (9-3i)))
[405608] ['-3i', '(4+4i)', '(8-8i)', '(9+7i)'] -> (((8-8i) - ((4+4i) * (9+7i))) / -3i)
[405610] ['-3i', '(4+4i)', '(8-7i)', '(9-6i)'] -> ((-6i + (3+9i)) * ((6-5i) - (2-i)))
[405619] ['-3i', '(4+4i)', '(8-6i)', '(9-5i)'] -> ((-3i * (4+4i)) * ((9-5i) - (8-6i)))
[405624] ['-3i', '(4+4i)', '(8-5i)', '(9-4i)'] -> ((-3i * (4+4i)) * ((9-4i) - (8-5i)))
[405626] ['-3i', '(4+4i)', '(8-4i)', '(9-3i)'] -> (-6i * ((6-6i) - ((2-i) + (4-9i))))
[405633] ['-3i', '(4+4i)', '(8-3i)', '(9-2i)'] -> ((-3i * (4+4i)) * ((9-2i) - (8-3i)))
[405639] ['-3i', '(4+4i)', '(8-2i)', '(9-i)'] -> ((-3i * (4+4i)) * ((9-i) - (8-2i)))
[405644] ['-3i', '(4+4i)', '(8-i)', '9'] -> ((-3i * (4+4i)) * (9 - (8-i)))
[405645] ['-3i', '(4+4i)', '(8-i)', '(9+4i)'] -> (((8-i) * (-3i + (4+4i))) - (9+4i))
[405647] ['-3i', '(4+4i)', '(8-i)', '(9+7i)'] -> ((-3i * (4+4i)) / ((8-i) / (9+7i)))
[405650] ['-3i', '(4+4i)', '8', '(9-9i)'] -> ((8 - (4+4i)) / (-3i / (9-9i)))
[405654] ['-3i', '(4+4i)', '8', '(9+i)'] -> ((-3i * (4+4i)) * ((9+i) - 8))
[405659] ['-3i', '(4+4i)', '(8+i)', '(9+2i)'] -> (-8i * ((7+7i) - ((1-4i) + (6+8i))))
[405662] ['-3i', '(4+4i)', '(8+2i)', '(9+3i)'] -> ((-3i * (4+4i)) * ((9+3i) - (8+2i)))
[405668] ['-3i', '(4+4i)', '(8+3i)', '(9+4i)'] -> ((-3i * (4+4i)) * ((9+4i) - (8+3i)))
[405671] ['-3i', '(4+4i)', '(8+4i)', '(9+5i)'] -> ((-3i * (4+4i)) * ((9+5i) - (8+4i)))
[405673] ['-3i', '(4+4i)', '(8+5i)', '(9+6i)'] -> ((-3i * (4+4i)) * ((9+6i) - (8+5i)))
[405677] ['-3i', '(4+4i)', '(8+6i)', '(9+7i)'] -> ((-3i * (4+4i)) * ((9+7i) - (8+6i)))
[405681] ['-3i', '(4+4i)', '(8+7i)', '(9+8i)'] -> ((-3i * (4+4i)) * ((9+8i) - (8+7i)))
[405683] ['-3i', '(4+4i)', '(8+8i)', '(9+3i)'] -> ((8+8i) - ((9+3i) / (-3i / (4+4i))))
[405710] ['-3i', '(4+4i)', '9', '(9+9i)'] -> ((-3i * (4+4i)) / (9 / (9+9i)))
[405718] ['-3i', '(4+5i)', '(4+5i)', '(5+7i)'] -> ((-3i * (4+5i)) + ((4+5i) + (5+7i)))
[405727] ['-3i', '(4+5i)', '(4+5i)', '(8+2i)'] -> (-3i * (((4+5i) + (4+5i)) - (8+2i)))
[405738] ['-3i', '(4+5i)', '(4+6i)', '(5+6i)'] -> ((-3i * (4+5i)) + ((4+6i) + (5+6i)))
[405749] ['-3i', '(4+5i)', '(4+6i)', '(8+3i)'] -> (-3i * (((4+5i) + (4+6i)) - (8+3i)))
[405755] ['-3i', '(4+5i)', '(4+7i)', '(5+5i)'] -> ((-3i * (4+5i)) + ((4+7i) + (5+5i)))
[405764] ['-3i', '(4+5i)', '(4+7i)', '(7+2i)'] -> ((-3i + (4+7i)) * ((7+2i) - (4+5i)))
[405767] ['-3i', '(4+5i)', '(4+7i)', '(8+4i)'] -> (-3i * (((4+5i) + (4+7i)) - (8+4i)))
[405775] ['-3i', '(4+5i)', '(4+8i)', '(5+4i)'] -> ((-3i * (4+5i)) + ((4+8i) + (5+4i)))
[405781] ['-3i', '(4+5i)', '(4+8i)', '(8+5i)'] -> (-3i * (((4+5i) + (4+8i)) - (8+5i)))
[405786] ['-3i', '(4+5i)', '(4+9i)', '(5+3i)'] -> ((-3i * (4+5i)) + ((4+9i) + (5+3i)))
[405791] ['-3i', '(4+5i)', '(4+9i)', '(7-7i)'] -> ((-3i * (4+9i)) + ((4+5i) - (7-7i)))
[405796] ['-3i', '(4+5i)', '(4+9i)', '(8+6i)'] -> (-3i * (((4+5i) + (4+9i)) - (8+6i)))
[405814] ['-3i', '(4+5i)', '(5-9i)', '(9+4i)'] -> (-3i * ((9+4i) - ((4+5i) + (5-9i))))
[405839] ['-3i', '(4+5i)', '(5-8i)', '(9+5i)'] -> (-3i * ((9+5i) - ((4+5i) + (5-8i))))
[405862] ['-3i', '(4+5i)', '(5-7i)', '(9+6i)'] -> (-3i * ((9+6i) - ((4+5i) + (5-7i))))
[405878] ['-3i', '(4+5i)', '(5-6i)', '(9-9i)'] -> (-3i * (((4+5i) + (5-6i)) - (9-9i)))
[405881] ['-3i', '(4+5i)', '(5-6i)', '(9+3i)'] -> ((-3i * ((4+5i) - (5-6i))) - (9+3i))
[405883] ['-3i', '(4+5i)', '(5-6i)', '(9+7i)'] -> (-3i * ((9+7i) - ((4+5i) + (5-6i))))
[405888] ['-3i', '(4+5i)', '(5-5i)', '(6+3i)'] -> ((-3i * ((4+5i) - (5-5i))) - (6+3i))
[405895] ['-3i', '(4+5i)', '(5-5i)', '(9-8i)'] -> (((1-5i) * (2+3i)) + ((2+6i) + (5+i)))
[405899] ['-3i', '(4+5i)', '(5-5i)', '(9+8i)'] -> (-3i * ((9+8i) - ((4+5i) + (5-5i))))
[405910] ['-3i', '(4+5i)', '(5-4i)', '8'] -> ((-3i * (4+5i)) / ((5-4i) / 8))
[405912] ['-3i', '(4+5i)', '(5-4i)', '(9-7i)'] -> (-6i * ((4+4i) - ((8-4i) / (2-i))))
[405914] ['-3i', '(4+5i)', '(5-4i)', '(9+9i)'] -> (-3i * ((9+9i) - ((4+5i) + (5-4i))))
[405926] ['-3i', '(4+5i)', '(5-3i)', '(9-6i)'] -> (-3i * (((4+5i) + (5-3i)) - (9-6i)))
[405948] ['-3i', '(4+5i)', '(5-2i)', '(9-5i)'] -> (-3i * (((4+5i) + (5-2i)) - (9-5i)))
[405967] ['-3i', '(4+5i)', '(5-i)', '(9-4i)'] -> (-3i * (((4+5i) + (5-i)) - (9-4i)))
[405984] ['-3i', '(4+5i)', '(5+i)', '(9-2i)'] -> (((2-6i) * (5+8i)) - ((5+i) * (6-4i)))
[406000] ['-3i', '(4+5i)', '(5+2i)', '(9-i)'] -> (-3i * (((4+5i) + (5+2i)) - (9-i)))
[406004] ['-3i', '(4+5i)', '(5+3i)', '(6+9i)'] -> (((6+9i) * ((5+3i) - (4+5i))) - -3i)
[406013] ['-3i', '(4+5i)', '(5+3i)', '9'] -> (-3i * (((4+5i) + (5+3i)) - 9))
[406022] ['-3i', '(4+5i)', '(5+4i)', '(8+8i)'] -> ((-3i * (8+8i)) / ((5+4i) - (4+5i)))
[406023] ['-3i', '(4+5i)', '(5+4i)', '(8+9i)'] -> (((4+5i) - ((5+4i) * (8+9i))) / -3i)
[406027] ['-3i', '(4+5i)', '(5+4i)', '(9+i)'] -> (-3i * (((4+5i) + (5+4i)) - (9+i)))
[406042] ['-3i', '(4+5i)', '(5+5i)', '(9+2i)'] -> (-3i * (((4+5i) + (5+5i)) - (9+2i)))
[406055] ['-3i', '(4+5i)', '(5+6i)', '(8-8i)'] -> ((-3i * (8-8i)) / ((4+5i) - (5+6i)))
[406062] ['-3i', '(4+5i)', '(5+6i)', '(9+3i)'] -> (-3i * (((4+5i) + (5+6i)) - (9+3i)))
[406088] ['-3i', '(4+5i)', '(5+7i)', '(9+3i)'] -> ((5+7i) - ((9+3i) / (-3i / (4+5i))))
[406089] ['-3i', '(4+5i)', '(5+7i)', '(9+4i)'] -> (-3i * (((4+5i) + (5+7i)) - (9+4i)))
[406113] ['-3i', '(4+5i)', '(5+8i)', '(9+5i)'] -> (-3i * (((4+5i) + (5+8i)) - (9+5i)))
[406133] ['-3i', '(4+5i)', '(5+9i)', '(9+6i)'] -> (-3i * (((4+5i) + (5+9i)) - (9+6i)))
[406214] ['-3i', '(4+5i)', '(6-6i)', '(6+4i)'] -> ((6-6i) * ((6+4i) - (-3i + (4+5i))))
[406224] ['-3i', '(4+5i)', '(6-6i)', '(9-6i)'] -> ((6-6i) * ((4+5i) - ((9-6i) / -3i)))
[406227] ['-3i', '(4+5i)', '(6-6i)', '(9+6i)'] -> ((-3i * ((4+5i) - (6-6i))) - (9+6i))
[406230] ['-3i', '(4+5i)', '(6-5i)', '(6-3i)'] -> ((-6i / (2-i)) * ((9+8i) - 5))
[406234] ['-3i', '(4+5i)', '(6-5i)', '(6+6i)'] -> ((2-6i) - ((6+4i) * ((5+i) - 8)))
[406255] ['-3i', '(4+5i)', '(6-4i)', '(8-4i)'] -> (((6-4i) * (-3i + (4+5i))) - (8-4i))
[406267] ['-3i', '(4+5i)', '(6-3i)', '6'] -> ((5+2i) - ((2-i) * (-6i - (8-3i))))
[406268] ['-3i', '(4+5i)', '(6-3i)', '(6+i)'] -> (((6-3i) * (6+i)) - (-3i * (4+5i)))
