[1076057] ['1/8', '2/7', '3/4', '5/2', '8/7'] -> ((5/2 / (2/7 - (1/8 / 3/4))) * 8/7)
[1076064] ['1/8', '2/7', '3/4', '5/3', '5/3'] -> ((((5/3 - 3/4) / 1/8) / 2/7) - 5/3)
[1076074] ['1/8', '2/7', '3/4', '5/3', '7/4'] -> (((2/7 / 3/4) + (5/3 / 1/8)) * 7/4)
[1076081] ['1/8', '2/7', '3/4', '5/3', '8/7'] -> (8/7 / (((2/7 * 3/4) / 1/8) - 5/3))
[1076083] ['1/8', '2/7', '3/4', '5/3', '9/2'] -> ((5/3 / (3/4 - (1/8 / 2/7))) * 9/2)
[1076086] ['1/8', '2/7', '3/4', '5/3', '9/7'] -> (9/7 / (((2/7 * 3/4) - 1/8) / 5/3))
[1076096] ['1/8', '2/7', '3/4', '5/4', '7/3'] -> ((((5/4 - 2/7) / 1/8) / 3/4) * 7/3)
[1076107] ['1/8', '2/7', '3/4', '5/4', '9/4'] -> ((((3/4 * 5/4) / 1/8) / 2/7) - 9/4)
[1076122] ['1/8', '2/7', '3/4', '5/6', '7/8'] -> (7/8 / ((1/8 * (5/6 - 3/4)) / 2/7))
[1076126] ['1/8', '2/7', '3/4', '5/6', '8/7'] -> (8/7 / ((5/6 - (1/8 * 2/7)) - 3/4))
[1076128] ['1/8', '2/7', '3/4', '5/6', '9/2'] -> (9/2 / ((3/4 * 5/6) - (1/8 / 2/7)))
[1076131] ['1/8', '2/7', '3/4', '5/6', '9/7'] -> (9/7 / (((2/7 * 3/4) * 5/6) - 1/8))
[1076134] ['1/8', '2/7', '3/4', '5/7', '5/8'] -> ((((3/4 * 5/7) / 1/8) / 2/7) / 5/8)
[1076146] ['1/8', '2/7', '3/4', '5/7', '8/5'] -> ((((3/4 * 5/7) / 1/8) / 2/7) * 8/5)
[1076156] ['1/8', '2/7', '3/4', '5/8', '6/5'] -> (6/5 / (3/4 - ((1/8 / 2/7) / 5/8)))
[1076157] ['1/8', '2/7', '3/4', '5/8', '6/7'] -> (6/7 / (((2/7 + 5/8) - 1/8) - 3/4))
[1076161] ['1/8', '2/7', '3/4', '5/8', '7/5'] -> ((((3/4 / 1/8) / 2/7) / 5/8) / 7/5)
[1076177] ['1/8', '2/7', '3/4', '5/9', '7/2'] -> (7/2 / ((2/7 * 3/4) * (1/8 + 5/9)))
[1076178] ['1/8', '2/7', '3/4', '5/9', '7/3'] -> ((((3/4 / 1/8) - 2/7) / 5/9) * 7/3)
[1076184] ['1/8', '2/7', '3/4', '5/9', '8/3'] -> (8/3 / (2/7 * (5/9 - (1/8 / 3/4))))
[1076206] ['1/8', '2/7', '3/4', '6/5', '9/2'] -> (9/2 / ((3/4 / 6/5) - (1/8 / 2/7)))
[1076208] ['1/8', '2/7', '3/4', '6/5', '9/5'] -> ((((3/4 / 1/8) / 2/7) + 6/5) + 9/5)
[1076209] ['1/8', '2/7', '3/4', '6/5', '9/7'] -> (9/7 / (((2/7 * 3/4) / 6/5) - 1/8))
[1076219] ['1/8', '2/7', '3/4', '6/7', '8/3'] -> (((3/4 / 1/8) + (6/7 / 2/7)) * 8/3)
[1076227] ['1/8', '2/7', '3/4', '6/7', '9/8'] -> (9/8 / ((1/8 * (6/7 - 3/4)) / 2/7))
[1076236] ['1/8', '2/7', '3/4', '7/2', '8/5'] -> ((1/8 + ((3/4 + 7/2) / 2/7)) * 8/5)
[1076245] ['1/8', '2/7', '3/4', '7/3', '7/4'] -> ((((3/4 * 7/3) / 1/8) - 2/7) * 7/4)
[1076248] ['1/8', '2/7', '3/4', '7/3', '7/8'] -> (7/8 / (1/8 * ((3/4 / 2/7) - 7/3)))
[1076250] ['1/8', '2/7', '3/4', '7/3', '8/3'] -> ((((3/4 / 1/8) / 2/7) / 7/3) * 8/3)
[1076252] ['1/8', '2/7', '3/4', '7/3', '8/7'] -> (8/7 / (3/4 - (2/7 * (1/8 + 7/3))))
[1076254] ['1/8', '2/7', '3/4', '7/3', '9/2'] -> (((3/4 / 1/8) - (2/7 * 7/3)) * 9/2)
[1076255] ['1/8', '2/7', '3/4', '7/3', '9/4'] -> ((((3/4 + 7/3) / 2/7) - 1/8) * 9/4)
[1076256] ['1/8', '2/7', '3/4', '7/3', '9/5'] -> ((((3/4 / 1/8) - 2/7) * 7/3) * 9/5)
[1076261] ['1/8', '2/7', '3/4', '7/4', '7/6'] -> ((((7/4 - 3/4) / 1/8) / 2/7) / 7/6)
[1076266] ['1/8', '2/7', '3/4', '7/4', '8/7'] -> (8/7 / ((7/4 / 3/4) - (2/7 / 1/8)))
[1076268] ['1/8', '2/7', '3/4', '7/4', '9/2'] -> ((((2/7 * 7/4) / 1/8) / 3/4) * 9/2)
[1076272] ['1/8', '2/7', '3/4', '7/4', '9/8'] -> (9/8 / (((1/8 * 2/7) * 3/4) * 7/4))
[1076278] ['1/8', '2/7', '3/4', '7/5', '8/5'] -> ((((3/4 / 1/8) / 2/7) / 7/5) * 8/5)
[1076289] ['1/8', '2/7', '3/4', '7/6', '8/3'] -> ((((7/6 / 2/7) - 3/4) / 1/8) - 8/3)
[1076304] ['1/8', '2/7', '3/4', '7/8', '9/2'] -> (((3/4 / (2/7 - 1/8)) / 7/8) * 9/2)
[1076305] ['1/8', '2/7', '3/4', '7/8', '9/4'] -> (9/4 / (3/4 * ((2/7 * 7/8) - 1/8)))
[1076313] ['1/8', '2/7', '3/4', '7/9', '8/9'] -> ((((3/4 / 1/8) / 2/7) / 7/9) * 8/9)
[1076314] ['1/8', '2/7', '3/4', '7/9', '9/2'] -> (9/2 / (3/4 - ((1/8 / 2/7) / 7/9)))
[1076317] ['1/8', '2/7', '3/4', '7/9', '9/7'] -> (9/7 / ((2/7 * 3/4) - (1/8 / 7/9)))
[1076318] ['1/8', '2/7', '3/4', '7/9', '9/8'] -> ((((3/4 / 1/8) / 2/7) / 7/9) / 9/8)
[1076320] ['1/8', '2/7', '3/4', '8/3', '8/5'] -> (8/5 - (8/3 / ((1/8 / 3/4) - 2/7)))
[1076324] ['1/8', '2/7', '3/4', '8/3', '9/4'] -> (((8/3 / (1/8 + 3/4)) / 2/7) * 9/4)
[1076338] ['1/8', '2/7', '3/4', '8/7', '9/2'] -> (((3/4 * 8/7) / (2/7 - 1/8)) * 9/2)
[1076339] ['1/8', '2/7', '3/4', '8/7', '9/4'] -> (9/4 / (3/4 * ((2/7 / 8/7) - 1/8)))
[1076349] ['1/8', '2/7', '3/4', '9/2', '9/2'] -> (9/2 / ((1/8 * 2/7) * (3/4 + 9/2)))
[1076350] ['1/8', '2/7', '3/4', '9/2', '9/4'] -> (((3/4 / 1/8) + (9/2 / 2/7)) + 9/4)
[1076354] ['1/8', '2/7', '3/4', '9/4', '9/4'] -> (((1/8 + (9/4 / 2/7)) / 3/4) * 9/4)
[1076357] ['1/8', '2/7', '3/4', '9/4', '9/8'] -> (9/8 / (1/8 * ((3/4 / 2/7) - 9/4)))
[1076361] ['1/8', '2/7', '3/4', '9/7', '9/7'] -> (9/7 / ((2/7 * 3/4) - (1/8 * 9/7)))
[1076362] ['1/8', '2/7', '3/4', '9/7', '9/8'] -> ((((3/4 * 9/7) / 1/8) / 2/7) / 9/8)
[1076365] ['1/8', '2/7', '3/5', '3/5', '3/7'] -> (((2/7 + (3/5 / 3/5)) / 1/8) / 3/7)
[1076375] ['1/8', '2/7', '3/5', '3/5', '5/7'] -> ((((3/5 + 3/5) / 1/8) / 2/7) * 5/7)
[1076381] ['1/8', '2/7', '3/5', '3/5', '7/3'] -> (((2/7 + (3/5 / 3/5)) / 1/8) * 7/3)
[1076383] ['1/8', '2/7', '3/5', '3/5', '7/5'] -> ((((3/5 + 3/5) / 1/8) / 2/7) / 7/5)
[1076384] ['1/8', '2/7', '3/5', '3/5', '7/6'] -> ((((3/5 / 1/8) / 2/7) / 3/5) / 7/6)
[1076391] ['1/8', '2/7', '3/5', '3/5', '9/2'] -> ((9/2 / 1/8) / ((3/5 / 2/7) - 3/5))
[1076394] ['1/8', '2/7', '3/5', '3/5', '9/7'] -> ((9/7 / 1/8) / (3/5 - (2/7 * 3/5)))
[1076408] ['1/8', '2/7', '3/5', '3/7', '5/9'] -> (((2/7 / (3/5 - 3/7)) / 1/8) / 5/9)
[1076432] ['1/8', '2/7', '3/5', '3/8', '5/2'] -> ((3/5 / ((1/8 / 2/7) - 3/8)) * 5/2)
[1076436] ['1/8', '2/7', '3/5', '3/8', '5/7'] -> ((3/5 / (1/8 - (2/7 * 3/8))) * 5/7)
[1076444] ['1/8', '2/7', '3/5', '3/8', '7/5'] -> ((3/5 / (1/8 - (2/7 * 3/8))) / 7/5)
[1076450] ['1/8', '2/7', '3/5', '3/8', '8/7'] -> (8/7 / (2/7 * (3/8 - (1/8 / 3/5))))
[1076452] ['1/8', '2/7', '3/5', '3/8', '9/2'] -> (9/2 / ((3/8 / 3/5) - (1/8 / 2/7)))
[1076455] ['1/8', '2/7', '3/5', '3/8', '9/7'] -> (9/7 / (((2/7 * 3/8) / 3/5) - 1/8))
[1076470] ['1/8', '2/7', '3/5', '4/3', '7/2'] -> (7/2 / (1/8 / (4/3 - (2/7 / 3/5))))
[1076484] ['1/8', '2/7', '3/5', '4/3', '9/7'] -> (9/7 / (3/5 * ((2/7 / 4/3) - 1/8)))
[1076496] ['1/8', '2/7', '3/5', '4/5', '6/5'] -> (6/5 / ((1/8 * 2/7) * (3/5 + 4/5)))
[1076498] ['1/8', '2/7', '3/5', '4/5', '7/2'] -> (7/2 / ((1/8 * 3/5) / (4/5 - 2/7)))
[1076503] ['1/8', '2/7', '3/5', '4/5', '7/8'] -> ((((3/5 / 1/8) / 2/7) / 4/5) / 7/8)
[1076507] ['1/8', '2/7', '3/5', '4/5', '8/7'] -> ((((3/5 / 1/8) / 2/7) / 4/5) * 8/7)
[1076516] ['1/8', '2/7', '3/5', '4/7', '5/2'] -> (5/2 / (((1/8 * 2/7) / 3/5) / 4/7))
[1076520] ['1/8', '2/7', '3/5', '4/7', '5/7'] -> (5/7 / ((1/8 + (2/7 / 3/5)) - 4/7))
[1076523] ['1/8', '2/7', '3/5', '4/7', '6/5'] -> (6/5 / (1/8 * (4/7 - (2/7 * 3/5))))
[1076532] ['1/8', '2/7', '3/5', '4/7', '8/3'] -> ((((4/7 / 1/8) / 2/7) / 3/5) - 8/3)
[1076536] ['1/8', '2/7', '3/5', '4/7', '9/2'] -> ((((4/7 / 3/5) - 2/7) / 1/8) * 9/2)
[1076562] ['1/8', '2/7', '3/5', '4/9', '9/2'] -> (9/2 / ((1/8 / (4/9 - 2/7)) - 3/5))
[1076574] ['1/8', '2/7', '3/5', '5/2', '6/5'] -> (6/5 / (1/8 * (5/2 - (3/5 / 2/7))))
[1076590] ['1/8', '2/7', '3/5', '5/2', '9/7'] -> (9/7 / (((1/8 * 2/7) * 3/5) * 5/2))
[1076601] ['1/8', '2/7', '3/5', '5/3', '7/3'] -> (((2/7 + (3/5 * 5/3)) / 1/8) * 7/3)
[1076603] ['1/8', '2/7', '3/5', '5/3', '7/5'] -> (7/5 / (1/8 / ((2/7 / 3/5) + 5/3)))
[1076604] ['1/8', '2/7', '3/5', '5/3', '7/6'] -> ((((3/5 * 5/3) / 1/8) / 2/7) / 7/6)
[1076614] ['1/8', '2/7', '3/5', '5/3', '9/7'] -> (9/7 / (1/8 * (3/5 - (2/7 / 5/3))))
[1076626] ['1/8', '2/7', '3/5', '5/4', '7/5'] -> (7/5 / (3/5 / (2/7 + (5/4 / 1/8))))
[1076628] ['1/8', '2/7', '3/5', '5/4', '7/8'] -> ((((3/5 * 5/4) / 1/8) / 2/7) / 7/8)
[1076632] ['1/8', '2/7', '3/5', '5/4', '8/7'] -> ((((3/5 * 5/4) / 1/8) / 2/7) * 8/7)
[1076640] ['1/8', '2/7', '3/5', '5/6', '5/7'] -> (5/7 / ((2/7 * 5/6) - (1/8 / 3/5)))
[1076644] ['1/8', '2/7', '3/5', '5/6', '6/7'] -> (6/7 / (2/7 - ((1/8 / 3/5) / 5/6)))
[1076658] ['1/8', '2/7', '3/5', '5/6', '9/5'] -> (9/5 / (3/5 - ((1/8 / 2/7) / 5/6)))
[1076663] ['1/8', '2/7', '3/5', '5/7', '5/9'] -> ((((2/7 + 5/7) / 1/8) / 3/5) / 5/9)
[1076673] ['1/8', '2/7', '3/5', '5/7', '8/3'] -> ((2/7 / ((1/8 + 3/5) - 5/7)) - 8/3)
[1076677] ['1/8', '2/7', '3/5', '5/7', '9/2'] -> ((((2/7 / 1/8) / 3/5) / 5/7) * 9/2)
[1076680] ['1/8', '2/7', '3/5', '5/7', '9/7'] -> (9/7 / (((3/5 - 1/8) * 5/7) - 2/7))
[1076685] ['1/8', '2/7', '3/5', '5/8', '6/7'] -> (6/7 / ((1/8 + 2/7) - (3/5 * 5/8)))
[1076695] ['1/8', '2/7', '3/5', '5/8', '8/7'] -> (8/7 / (((1/8 / 3/5) / 5/8) - 2/7))
[1076705] ['1/8', '2/7', '3/5', '5/9', '7/2'] -> (7/2 / (((1/8 * 3/5) * 5/9) / 2/7))
[1076716] ['1/8', '2/7', '3/5', '5/9', '9/2'] -> (9/2 / (((1/8 / 2/7) / 5/9) - 3/5))
[1076721] ['1/8', '2/7', '3/5', '6/5', '6/5'] -> ((((6/5 / 2/7) - 3/5) / 1/8) / 6/5)
[1076722] ['1/8', '2/7', '3/5', '6/5', '6/7'] -> (6/7 / (2/7 - ((1/8 * 6/5) / 3/5)))
[1076725] ['1/8', '2/7', '3/5', '6/5', '7/4'] -> ((((6/5 / 3/5) - 2/7) / 1/8) * 7/4)
[1076728] ['1/8', '2/7', '3/5', '6/5', '7/8'] -> ((((3/5 / 1/8) + 6/5) / 2/7) / 7/8)
[1076730] ['1/8', '2/7', '3/5', '6/5', '8/3'] -> (((3/5 / 1/8) + (6/5 / 2/7)) * 8/3)
[1076732] ['1/8', '2/7', '3/5', '6/5', '8/7'] -> ((((3/5 / 1/8) + 6/5) / 2/7) * 8/7)
[1076736] ['1/8', '2/7', '3/5', '6/5', '9/5'] -> (9/5 / (3/5 - ((1/8 * 6/5) / 2/7)))
[1076742] ['1/8', '2/7', '3/5', '6/7', '7/4'] -> (((2/7 + (6/7 / 3/5)) / 1/8) * 7/4)
[1076749] ['1/8', '2/7', '3/5', '6/7', '8/7'] -> (8/7 / (1/8 * (6/7 - (2/7 / 3/5))))
[1076752] ['1/8', '2/7', '3/5', '6/7', '9/4'] -> ((((2/7 / 3/5) + 6/7) / 1/8) * 9/4)
[1076753] ['1/8', '2/7', '3/5', '6/7', '9/5'] -> (9/5 / (((2/7 * 3/5) / 6/7) - 1/8))
[1076774] ['1/8', '2/7', '3/5', '7/3', '7/5'] -> (7/5 / ((1/8 + 3/5) - (2/7 * 7/3)))
[1076802] ['1/8', '2/7', '3/5', '7/5', '7/6'] -> ((((3/5 / 2/7) + 7/5) / 1/8) / 7/6)
[1076807] ['1/8', '2/7', '3/5', '7/5', '8/7'] -> (8/7 / ((7/5 / 3/5) - (2/7 / 1/8)))
[1076809] ['1/8', '2/7', '3/5', '7/5', '9/2'] -> ((((2/7 * 7/5) / 1/8) / 3/5) * 9/2)
[1076811] ['1/8', '2/7', '3/5', '7/5', '9/5'] -> (9/5 / ((3/5 - (2/7 * 7/5)) - 1/8))
[1076812] ['1/8', '2/7', '3/5', '7/5', '9/7'] -> (9/7 / (((3/5 - 1/8) / 7/5) - 2/7))
[1076823] ['1/8', '2/7', '3/5', '7/6', '9/5'] -> (9/5 / (((2/7 * 3/5) * 7/6) - 1/8))
[1076830] ['1/8', '2/7', '3/5', '7/8', '8/7'] -> (8/7 / (2/7 - ((1/8 / 3/5) / 7/8)))
[1076834] ['1/8', '2/7', '3/5', '7/8', '9/5'] -> (9/5 / (3/5 * ((2/7 * 7/8) - 1/8)))
[1076849] ['1/8', '2/7', '3/5', '8/3', '8/7'] -> ((((2/7 / 3/5) + 8/3) / 1/8) - 8/7)
[1076854] ['1/8', '2/7', '3/5', '8/3', '9/7'] -> (9/7 / (((2/7 / 3/5) / 8/3) - 1/8))
[1076856] ['1/8', '2/7', '3/5', '8/5', '8/5'] -> ((((3/5 / 1/8) + 8/5) / 2/7) + 8/5)
[1076864] ['1/8', '2/7', '3/5', '8/7', '8/7'] -> (8/7 / (2/7 - ((1/8 * 8/7) / 3/5)))
[1076866] ['1/8', '2/7', '3/5', '8/7', '9/2'] -> (((8/7 - (2/7 / 3/5)) / 1/8) * 9/2)
[1076868] ['1/8', '2/7', '3/5', '8/7', '9/5'] -> (9/5 / (3/5 * ((2/7 / 8/7) - 1/8)))
[1076883] ['1/8', '2/7', '3/5', '9/4', '9/5'] -> (((1/8 + (9/4 / 2/7)) / 3/5) * 9/5)
[1076892] ['1/8', '2/7', '3/7', '3/7', '3/7'] -> (((2/7 + (3/7 / 3/7)) / 1/8) / 3/7)
[1076902] ['1/8', '2/7', '3/7', '3/7', '5/7'] -> ((5/7 / 1/8) / ((2/7 / 3/7) - 3/7))
[1076904] ['1/8', '2/7', '3/7', '3/7', '5/9'] -> ((((2/7 + 3/7) / 1/8) / 3/7) / 5/9)
[1076908] ['1/8', '2/7', '3/7', '3/7', '7/3'] -> (((2/7 + (3/7 / 3/7)) / 1/8) * 7/3)
[1076911] ['1/8', '2/7', '3/7', '3/7', '7/6'] -> ((((3/7 / 1/8) / 2/7) / 3/7) / 7/6)
[1076918] ['1/8', '2/7', '3/7', '3/7', '9/2'] -> (((3/7 + 3/7) / (2/7 - 1/8)) * 9/2)
[1076919] ['1/8', '2/7', '3/7', '3/7', '9/4'] -> ((3/7 + 3/7) / ((2/7 / 1/8) - 9/4))
[1076920] ['1/8', '2/7', '3/7', '3/7', '9/5'] -> ((((2/7 + 3/7) / 1/8) / 3/7) * 9/5)
[1076924] ['1/8', '2/7', '3/7', '3/8', '4/3'] -> ((((3/7 / 1/8) / 2/7) / 3/8) / 4/3)
[1076939] ['1/8', '2/7', '3/7', '3/8', '7/4'] -> ((3/8 / ((1/8 / 2/7) - 3/7)) / 7/4)
[1076945] ['1/8', '2/7', '3/7', '3/8', '8/5'] -> ((((3/7 / 2/7) + 3/8) / 1/8) * 8/5)
[1076948] ['1/8', '2/7', '3/7', '3/8', '9/2'] -> (9/2 / (3/8 - ((1/8 * 3/7) / 2/7)))
[1076951] ['1/8', '2/7', '3/7', '3/8', '9/7'] -> (9/7 / ((2/7 * 3/8) - (1/8 * 3/7)))
[1076956] ['1/8', '2/7', '3/7', '4/3', '4/9'] -> ((((3/7 / 1/8) / 2/7) - 4/3) / 4/9)
[1076963] ['1/8', '2/7', '3/7', '4/3', '5/9'] -> ((((3/7 / 1/8) / 2/7) + 4/3) / 5/9)
[1076965] ['1/8', '2/7', '3/7', '4/3', '6/7'] -> (6/7 / (1/8 * ((3/7 * 4/3) - 2/7)))
[1076966] ['1/8', '2/7', '3/7', '4/3', '7/2'] -> (7/2 / (1/8 / (2/7 + (3/7 * 4/3))))
[1076973] ['1/8', '2/7', '3/7', '4/3', '8/3'] -> ((((3/7 / 1/8) / 2/7) / 4/3) * 8/3)
[1076978] ['1/8', '2/7', '3/7', '4/3', '9/4'] -> ((((3/7 / 1/8) / 2/7) - 4/3) * 9/4)
[1076979] ['1/8', '2/7', '3/7', '4/3', '9/5'] -> ((((3/7 / 1/8) / 2/7) + 4/3) * 9/5)
[1076990] ['1/8', '2/7', '3/7', '4/5', '5/8'] -> ((((3/7 / 1/8) / 2/7) / 4/5) / 5/8)
[1077002] ['1/8', '2/7', '3/7', '4/5', '8/5'] -> ((((3/7 / 1/8) / 2/7) / 4/5) * 8/5)
[1077006] ['1/8', '2/7', '3/7', '4/5', '9/4'] -> (9/4 / (((3/7 - 1/8) / 4/5) - 2/7))
[1077016] ['1/8', '2/7', '3/7', '4/7', '5/7'] -> (5/7 / ((1/8 + 4/7) - (2/7 / 3/7)))
[1077021] ['1/8', '2/7', '3/7', '4/7', '7/2'] -> ((((3/7 * 4/7) / 1/8) / 2/7) * 7/2)
[1077022] ['1/8', '2/7', '3/7', '4/7', '7/3'] -> ((((2/7 + 3/7) + 4/7) / 1/8) * 7/3)
[1077025] ['1/8', '2/7', '3/7', '4/7', '7/6'] -> ((((3/7 + 4/7) / 1/8) / 2/7) / 7/6)
[1077026] ['1/8', '2/7', '3/7', '4/7', '7/8'] -> ((((3/7 / 1/8) / 2/7) / 4/7) / 7/8)
[1077030] ['1/8', '2/7', '3/7', '4/7', '8/7'] -> ((((3/7 / 1/8) / 2/7) / 4/7) * 8/7)
[1077032] ['1/8', '2/7', '3/7', '4/7', '9/2'] -> ((((4/7 - 2/7) / 1/8) / 3/7) * 9/2)
[1077037] ['1/8', '2/7', '3/7', '4/9', '4/9'] -> ((((3/7 + 4/9) / 1/8) / 2/7) - 4/9)
[1077042] ['1/8', '2/7', '3/7', '4/9', '5/7'] -> (5/7 / ((1/8 + (3/7 * 4/9)) - 2/7))
[1077048] ['1/8', '2/7', '3/7', '4/9', '7/3'] -> (7/3 / (((2/7 / 3/7) - 1/8) - 4/9))
[1077058] ['1/8', '2/7', '3/7', '4/9', '9/2'] -> ((((3/7 * 4/9) / 1/8) / 2/7) * 9/2)
[1077062] ['1/8', '2/7', '3/7', '4/9', '9/8'] -> ((((3/7 / 1/8) / 2/7) / 4/9) / 9/8)
[1077063] ['1/8', '2/7', '3/7', '5/2', '5/2'] -> (((3/7 / 2/7) + (5/2 / 1/8)) + 5/2)
[1077064] ['1/8', '2/7', '3/7', '5/2', '5/3'] -> ((3/7 / (1/8 - (2/7 / 5/2))) / 5/3)
[1077065] ['1/8', '2/7', '3/7', '5/2', '5/4'] -> ((((3/7 * 5/2) / 1/8) / 2/7) / 5/4)
[1077069] ['1/8', '2/7', '3/7', '5/2', '5/9'] -> ((((2/7 * 5/2) / 1/8) / 3/7) / 5/9)
[1077076] ['1/8', '2/7', '3/7', '5/2', '7/6'] -> (((5/2 / (2/7 + 3/7)) / 1/8) / 7/6)
[1077085] ['1/8', '2/7', '3/7', '5/2', '9/5'] -> ((((2/7 * 5/2) / 1/8) / 3/7) * 9/5)
[1077086] ['1/8', '2/7', '3/7', '5/2', '9/7'] -> ((3/7 + ((2/7 + 5/2) / 1/8)) + 9/7)
[1077090] ['1/8', '2/7', '3/7', '5/3', '5/6'] -> ((((3/7 * 5/3) / 1/8) / 2/7) / 5/6)
[1077094] ['1/8', '2/7', '3/7', '5/3', '6/5'] -> ((((3/7 * 5/3) / 1/8) / 2/7) * 6/5)
[1077109] ['1/8', '2/7', '3/7', '5/3', '9/5'] -> (9/5 / (1/8 * (3/7 + (2/7 / 5/3))))
[1077115] ['1/8', '2/7', '3/7', '5/4', '5/8'] -> ((((3/7 * 5/4) / 1/8) / 2/7) / 5/8)
[1077118] ['1/8', '2/7', '3/7', '5/4', '6/7'] -> (6/7 / (3/7 - (2/7 * (1/8 + 5/4))))
[1077127] ['1/8', '2/7', '3/7', '5/4', '8/5'] -> ((((3/7 * 5/4) / 1/8) / 2/7) * 8/5)
[1077132] ['1/8', '2/7', '3/7', '5/4', '9/5'] -> (9/5 / ((3/7 - (2/7 / 5/4)) - 1/8))
[1077135] ['1/8', '2/7', '3/7', '5/6', '5/6'] -> (((3/7 + (5/6 / 1/8)) / 2/7) - 5/6)
[1077141] ['1/8', '2/7', '3/7', '5/6', '7/2'] -> (7/2 / ((1/8 * 5/6) / (2/7 + 3/7)))
[1077162] ['1/8', '2/7', '3/7', '5/7', '7/2'] -> ((((3/7 + 5/7) - 2/7) / 1/8) * 7/2)
[1077168] ['1/8', '2/7', '3/7', '5/7', '7/9'] -> ((((2/7 + 5/7) / 1/8) / 3/7) / 7/9)
[1077175] ['1/8', '2/7', '3/7', '5/7', '9/5'] -> (9/5 / (((3/7 - 2/7) / 5/7) - 1/8))
[1077180] ['1/8', '2/7', '3/7', '5/8', '6/5'] -> (6/5 / (1/8 * ((3/7 / 5/8) - 2/7)))
[1077182] ['1/8', '2/7', '3/7', '5/8', '7/2'] -> ((((2/7 + 5/8) / 1/8) - 3/7) * 7/2)
[1077217] ['1/8', '2/7', '3/7', '6/5', '6/5'] -> (6/5 / (3/7 - (2/7 * (1/8 + 6/5))))
[1077219] ['1/8', '2/7', '3/7', '6/5', '7/2'] -> (7/2 / ((1/8 / (2/7 + 3/7)) / 6/5))
[1077227] ['1/8', '2/7', '3/7', '6/5', '8/5'] -> (8/5 / (1/8 * (6/5 - (2/7 / 3/7))))
[1077230] ['1/8', '2/7', '3/7', '6/5', '9/2'] -> (((3/7 + (2/7 / 6/5)) / 1/8) * 9/2)
[1077238] ['1/8', '2/7', '3/7', '6/7', '7/4'] -> ((((6/7 / 3/7) - 2/7) / 1/8) * 7/4)
[1077240] ['1/8', '2/7', '3/7', '6/7', '7/6'] -> ((((6/7 / 2/7) - 3/7) / 1/8) * 7/6)
[1077241] ['1/8', '2/7', '3/7', '6/7', '7/8'] -> (7/8 / (1/8 / (3/7 + (6/7 / 2/7))))
[1077243] ['1/8', '2/7', '3/7', '6/7', '8/3'] -> ((((3/7 / 1/8) - 6/7) / 2/7) * 8/3)
[1077244] ['1/8', '2/7', '3/7', '6/7', '8/5'] -> ((((3/7 / 1/8) + 6/7) / 2/7) * 8/5)
[1077247] ['1/8', '2/7', '3/7', '6/7', '9/2'] -> (((2/7 / (6/7 - 3/7)) / 1/8) * 9/2)
[1077248] ['1/8', '2/7', '3/7', '6/7', '9/4'] -> ((((6/7 - 2/7) / 1/8) / 3/7) * 9/4)
[1077250] ['1/8', '2/7', '3/7', '6/7', '9/7'] -> (9/7 / (3/7 - ((1/8 * 6/7) / 2/7)))
[1077251] ['1/8', '2/7', '3/7', '6/7', '9/8'] -> (9/8 / ((1/8 * 3/7) / (2/7 + 6/7)))
[1077254] ['1/8', '2/7', '3/7', '7/2', '7/4'] -> ((((3/7 * 7/2) / 1/8) / 2/7) / 7/4)
[1077268] ['1/8', '2/7', '3/7', '7/3', '7/3'] -> (((2/7 + (3/7 * 7/3)) / 1/8) * 7/3)
[1077271] ['1/8', '2/7', '3/7', '7/3', '7/6'] -> ((((3/7 * 7/3) / 1/8) / 2/7) / 7/6)
[1077274] ['1/8', '2/7', '3/7', '7/3', '8/3'] -> ((3/7 / (7/3 - (2/7 / 1/8))) * 8/3)
[1077286] ['1/8', '2/7', '3/7', '7/4', '7/8'] -> ((((3/7 * 7/4) / 1/8) / 2/7) / 7/8)
[1077290] ['1/8', '2/7', '3/7', '7/4', '8/7'] -> ((((3/7 * 7/4) / 1/8) / 2/7) * 8/7)
[1077292] ['1/8', '2/7', '3/7', '7/4', '9/2'] -> (9/2 / (((1/8 + 3/7) / 2/7) - 7/4))
[1077294] ['1/8', '2/7', '3/7', '7/4', '9/5'] -> (((7/4 / 1/8) - (2/7 / 3/7)) * 9/5)
[1077295] ['1/8', '2/7', '3/7', '7/4', '9/7'] -> (9/7 / ((1/8 + 3/7) - (2/7 * 7/4)))
[1077307] ['1/8', '2/7', '3/7', '7/5', '9/5'] -> (9/5 / (((3/7 - 2/7) * 7/5) - 1/8))
[1077308] ['1/8', '2/7', '3/7', '7/5', '9/7'] -> (9/7 / ((3/7 - (1/8 / 7/5)) - 2/7))
[1077320] ['1/8', '2/7', '3/7', '7/6', '9/7'] -> (9/7 / (3/7 - ((1/8 / 2/7) / 7/6)))
[1077321] ['1/8', '2/7', '3/7', '7/6', '9/8'] -> (9/8 / (1/8 / ((3/7 / 2/7) + 7/6)))
[1077350] ['1/8', '2/7', '3/7', '8/3', '9/7'] -> (9/7 / ((2/7 / 8/3) - (1/8 * 3/7)))
[1077351] ['1/8', '2/7', '3/7', '8/3', '9/8'] -> (9/8 / (2/7 / ((3/7 / 1/8) + 8/3)))
